질문번호	질문카테고리번호	질문유형번호	질문지
MBTI_SURVEY_SEQ.NEXTVAL	2	8	하루정도 어디를 다녀오고 싶을 때, 나는 언제 무엇을 할 것인지 계획하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	나는 나 자신을 대체로 계획적인 사람이라고 생각한다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	나는 정해진 시간표를 따르는 것이 편하다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	나는 어떤 특별한 일을 처리할 때 일을 처리해 나가면서 상황에 따라 필요한 대책을 세우는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	대부분의 경우, 나는 상황에 따르는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나는 대체로 다른 사람들과 쉽게 어울리는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	4	나는 평소에 상상력이 풍부한 사람들과 잘 어울린다
MBTI_SURVEY_SEQ.NEXTVAL	2	6	나는 이성보다 감정을 더 내세우는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	나는 많은 일들을 한 순간에 몰아서 하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	대체로 다른 사람들이 나를 알아가는데 많은 시간이 걸리는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나는 다른 사람들이 쉽게 알 수 있는 사람이다
MBTI_SURVEY_SEQ.NEXTVAL	2	3	내가 만약 인정받기를 원한다면, 나는 대체로 실제적이고 현실감각이 있는 사람으로 인정받기를 원한다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	많은 사람들과 함께 있을 때, 나는 주로 다른 사람이 나를 소개하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	3	내가 친구로 사귀고 싶은 사람은 언제나 현실감각이 있는 사람이다
MBTI_SURVEY_SEQ.NEXTVAL	2	6	나는 대체로 논리보다 정서를 더 중요시하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나는 많은 시간을 다른 사람들과 함께 보내는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	일주일 안에 마무리 지어야 할 큰 일을 시작할 때, 나는 시간을 내어 일의 목록과 처리 순서를 먼저 정한다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	여행을 계획할 때, 나는 대체로 그날그날 하고 싶은 대로 하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	대부분의 사람들이 일상적으로 하는 일을, 나는 그 사람들이 해오던 방식대로 하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나를 처음 만나는 사람들은 나의 관심이 무엇인가를 금방 아는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	4	나는 대체로 개념과 원래를 다루는 과목을 좋아하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	나에게 더 좋은 칭찬으로 들리는 것은 항상 합리적인 사람으로 불리는 것이다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	나는 계획에 따라 생활하는 것이 때로 필요하다고 생각하지만 별로 선호하지 않는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	여러 사람들과 함께 있을 때 나는 대체로 잘 아는 사람과 개인적으로 대화를 나누는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	여러 사람과 함께 있을 때, 나는 에너지가 충전이 되는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	나는 대체로 사회생활에 필요한 약속을 미리 해두는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	큰 과제를 맡았을 때, 나는 먼저 일을 단계적으로 나누어 시작하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	나는 친목회나 모임을 상황에 따라 즐길 수 있도록 자유롭게 두는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	나는 기존 방식의 개선할 점을 파악하고 대안을 제시하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	나는 대체로 혼자서 잘 지내는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	3	독서를 할 때, 나는 뜻하는 바가 정확한 내용을 좋아하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	6	내가 함께 일하고 싶은 윗사람(교사)은 일관성은 부족하나 인간성이 좋은 사람이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나는 친목회나 모임에서 대체로 즐거운 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	주말에 끝내야 하는 일의 목록을 작성 할 때, 나는 즐겁게 작성하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	나는 일상생활에서 시간의 압박을 피하기 위해 대체로 미리 계획을 세우는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	3	만일 내가 교사라면 현실에 적용될 수 있는 경험적인 과목을 가르치고 싶다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	나는 친목회나 모임에서 다른 사람들의 이야기를 듣는 편이다 
MBTI_SURVEY_SEQ.NEXTVAL	2	3	나는 상식이 풍부하고 실제적인 사람에게 끌린다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	나에게 있어 더 나은 칭찬은 능력이 있는 사람이라고 불리는 것이다
